section,text
City Steps,"The Perry North neighborhood has 21 distinct flights of city steps - many of which are open and in a safe condition. In Perry North, the Steps of Pittsburgh quickly connect pedestrians to public transportation, main business corridors, and schools, and provide an easy way to travel through this hilly area."
Surrounding neighborhoods,"Perry North has six borders, five with the Pittsburgh neighborhoods of Brighton Heights to the west, Summer Hill to the east and northeast, Northview Heights to the southeast, Perry South to the south, and Marshall-Shadeland to the southwest.  The other border is with Ross Township to the north."
